"ID";"Tipo";"Estado";"Data da solicitação";"Software/componente";"Assunto";"Autor";"Idade";"Data do fechamento"
"NEW-6109";"Nova funcionalidade";"OFF";"26/11/2012";"Geagro";"Validação dos Talões através do cadastro de processos";"Carlos Henrique";102;"07/03/2013"
"BUG-6110";"Falha/erro";"OFF";"26/11/2012";"Monnae";"Erro na validação da Data Inicial e Final do Balancete Gerencial";"Uiaciane";32;"27/12/2012"
"BUG-6112";"Falha/erro";"OFF";"26/11/2012";"School (web)";"Erro ao alterar login Administrador";"Carlos Henrique";51;"15/01/2013"
"CHG-6113";"Mudança";"OFF";"26/11/2012";"School (web)";"Quantidade de caracteres no campo Nome";"Carlos Henrique";45;"09/01/2013"
"BUG-6118";"Falha/erro";"OFF";"27/11/2012";"School (desktop)";"Erro na Impressão do Histórico";"Uiaciane";36;"02/01/2013"
"CHG-6119";"Mudança";"ADI";"27/11/2012";"Geagro";"Mudanças no Módulo de Cupons";"Carlos Henrique";141;
"BUG-6120";"Falha/erro";"OFF";"28/11/2012";"Monnae";"Histórico de Pessoas";"Leandro";30;"27/12/2012"
"CHG-6123";"Mudança";"OFF";"28/11/2012";"Facture-e";"Alterar a obrigatoriedade do campo 13 - email do Registro 0100 - Dados do Contabilista para ""O"" - Obrigatório";"Breno";16;"13/12/2012"
"BUG-6125";"Falha/erro";"ADI";"28/11/2012";"Geagro";"Erro em cálculo de Cupons";"Carlos Henrique";140;
"BUG-6130";"Falha/erro";"OFF";"29/11/2012";"Facture-e";"Habilitar/Desabilitar as informações do Modal Rodoviário";"Breno";14;"13/12/2012"
"CHG-6132";"Mudança";"OFF";"30/11/2012";"Facture-e";"NF-e - Resolução 13/2013 - Nota técnica 2012/005";"Breno";70;"07/02/2013"
"REF-6134";"Refatoração";"OFF";"30/11/2012";"School (web)";"Unificar métodos de geração de relatórios/gráficos";"Eduardo";47;"15/01/2013"
"CHG-6136";"Mudança";"OFF";"30/11/2012";"Facture-e";"Bloquear a Sigla e Descrição da Unidade de Medida iguais";"Breno";70;"07/02/2013"
"BUG-6137";"Falha/erro";"OFF";"30/11/2012";"School (web)";"Elementos <c:forEach> em lugares errados na jsp de relatório de notas";"Eduardo";5;"04/12/2012"
"BUG-6140";"Falha/erro";"OFF";"03/12/2012";"Facture-e";"Alterar o Número do Conhecimento de Transporte";"Robson Pacífico";11;"13/12/2012"
"BUG-6141";"Falha/erro";"OFF";"03/12/2012";"School (web)";"Desempenho da página de alunos";"Carlos Fim";2;"04/12/2012"
"BUG-6151";"Falha/erro";"OFF";"04/12/2012";"Monnae";"Erro de Grafia";"Carlos Henrique";24;"27/12/2012"
"CHG-6152";"Mudança";"ACE";"04/12/2012";"School (desktop)";"Ajustar os modelos de declarações";"Diego";134;
"BUG-6153";"Falha/erro";"OFF";"04/12/2012";"School (desktop)";"Disciplinas sumindo da Transferência";"Carlos Henrique";44;"16/01/2013"
"CHG-6154";"Mudança";"ACE";"04/12/2012";"School (desktop)";"Preencher espaços em branco com traços nos históricos";"Diego";134;
"CHG-6155";"Mudança";"OFF";"04/12/2012";"School (desktop)";"Coluna idade no cadastro de alunos";"Diego";44;"16/01/2013"
"BUG-6157";"Falha/erro";"OFF";"04/12/2012";"Facture-e";"Campo Data Prevista Entrega - CT-e";"Robson Pacífico";9;"13/12/2012"
"CHG-6159";"Mudança";"OFF";"05/12/2012";"Geagro";"Usar CSS em relatórios e documentos";"Carlos Fim";93;"07/03/2013"
"REF-6160";"Refatoração";"OFF";"05/12/2012";"School (desktop)";"Criar classes para ata";"Carlos Fim";13;"18/12/2012"
